iter	Passed	Remaining
0	1	111
1	2	101
2	3	99
3	4	97
4	5	96
5	6	107
6	8	108
7	9	112
8	12	129
9	14	127
10	15	122
11	16	117
12	17	114
13	18	110
14	19	112
15	20	109
16	21	106
17	22	103
18	25	106
19	26	105
20	27	103
21	28	100
22	29	98
23	30	97
24	31	95
25	32	93
26	33	91
27	34	89
28	36	89
29	38	89
30	39	88
31	40	86
32	42	85
33	43	84
34	44	82
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	52	75
41	53	74
42	54	72
43	55	71
44	56	69
45	57	67
46	59	67
47	60	65
48	61	63
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	75	48
61	76	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	37
69	85	36
70	87	35
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	95	27
78	96	25
79	98	24
80	99	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	145	19
88	147	18
89	148	16
90	151	14
91	152	13
92	154	11
93	155	9
94	157	8
95	159	6
96	160	4
97	164	3
98	165	1
99	167	0
